Symbol,Market Cap,Sector,Industry
AAMC,35892079,Finance,Investment Managers
AAU,66140719,Basic Industries,Precious Metals
ACU,147422863,Consumer Durables,Home Furnishings
ACY,18117760,Technology,Diversified Commercial Services
ADRA,138143750,,
AE,118497043,Energy,Oilfield Services/Equipment
AEF,454735931,Finance,Finance/Investors Services
AGE,53488474,Health Care,Major Pharmaceuticals
AIM,81761425,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,66061664,Consumer Services,Professional Services
AIRI,44852566,Capital Goods,Military/Government/Technical
AMBO,62239436,Miscellaneous,Service to the Health Industry
AMPE,318973279,Health Care,Major Pharmaceuticals
AMS,17577030,Health Care,Medical Specialities
ANVS,814636763,Health Care,Major Pharmaceuticals
APT,94392337,,
ARMP,99013555,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,108937488,,
ASXC,604041919,Health Care,Medical/Dental Instruments
ATNM,146210852,Health Care,Major Pharmaceuticals
AUMN,96328233,,
AWX,17625428,Public Utilities,Environmental Services
AXU,331500893,Basic Industries,Precious Metals
BATL,203832990,Energy,Oil & Gas Production
BCV,174417215,Finance,Finance/Investors Services
BCV^A,,,
BDL,61353937,Consumer Services,Restaurants
BDR,16983917,Capital Goods,Industrial Machinery/Components
BGI,44905910,Consumer Services,Consumer Specialties
BHB,417960623,Finance,Major Banks
BKTI,53714307,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,149820642,Technology,EDP Services
BRBS,508922753,Finance,Commercial Banks
BRG,320588864,Consumer Services,Real Estate Investment Trusts
BRG^C,,,
BRG^D,,,
BRN,20527357,Energy,Oil & Gas Production
BTG,4155197480,Basic Industries,Precious Metals
BTN,83455041,Miscellaneous,Industrial Machinery/Components
BTTR,0,,
BTX,523740999,Health Care,Major Pharmaceuticals
BWL/A,,,
CANF,38680972,Health Care,Major Pharmaceuticals
CCF,1029588988,Basic Industries,Paints/Coatings
CDOR,74206282,Consumer Services,Real Estate Investment Trusts
CEI,34751678,Energy,Oil & Gas Production
CET,1118628380,Finance,Finance/Investors Services
CEV,99870050,Finance,Finance/Investors Services
CHAQ,108860881,,
CHFW,118385280,Finance,Business Services
CIK,183067252,Finance,Finance/Investors Services
CIX,265384760,Miscellaneous,Diversified Manufacture
CKX,23853839,Energy,Oil & Gas Production
CLM,925078701,Finance,Finance/Investors Services
CMCL,148576770,Basic Industries,Precious Metals
CMT,133885047,Consumer Durables,Electronic Components
COHN,28796703,Finance,Investment Managers
CPHI,30636429,Health Care,Major Pharmaceuticals
CQP,21790630957,Public Utilities,Oil/Gas Transmission
CRF,474464108,Finance,Finance/Investors Services
CTEK,26423122,Technology,Retail: Computer Software & Peripheral Equipment
CVM,368726994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,25189380,Consumer Non-Durables,Industrial Specialties
CVU,40604553,Capital Goods,Military/Government/Technical
DHY,262908801,Finance,Finance/Investors Services
DIT,80692853,Consumer Non-Durables,Food Distributors
DLA,210564985,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,193823745,Finance,Finance/Investors Services
DNN,853199757,Basic Industries,Other Metals and Minerals
DPW,114481437,Capital Goods,Industrial Machinery/Components
DSS,108346304,Consumer Services,Recreational Products/Toys
DXF,37373745,Consumer Non-Durables,Apparel
DXR,44130614,Health Care,Medical/Dental Instruments
EAD,533158683,Finance,Finance/Investors Services
ECF,204381794,Finance,Finance/Investors Services
EIM,992234407,Finance,Finance/Investors Services
ELA,111197694,Consumer Services,Consumer Specialties
ELLO,386466753,Public Utilities,Electric Utilities: Central
ELMD,102007930,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,227653420,Capital Goods,Industrial Machinery/Components
EMX,261220751,Basic Industries,Precious Metals
ENSV,17606398,Energy,Oilfield Services/Equipment
ENX,233544810,Finance,Finance/Investors Services
EPM,165191738,Energy,Oil & Gas Production
EQX,2005454491,Basic Industries,Precious Metals
ERC,359826619,Finance,Finance/Investors Services
ERH,131331244,Finance,Finance/Investors Services
ESP,40539495,Capital Goods,Industrial Machinery/Components
EVBN,202673429,Finance,Major Banks
EVI,367745190,Capital Goods,Industrial Machinery/Components
EVM,305680766,Finance,Finance/Investors Services
EVV,1534302108,Finance,Finance/Investors Services
EVY,81783676,Finance,Finance/Investors Services
EXN,72860882,Basic Industries,Precious Metals
FAX,1084907464,Finance,Investment Managers
FCO,80286707,Finance,Investment Managers
FEN,289155626,Finance,Finance/Investors Services
FRD,87428048,Basic Industries,Steel/Iron Ore
FSI,53327180,Capital Goods,Recreational Products/Toys
FSP,577425711,Consumer Services,Real Estate Investment Trusts
FTF,276975894,Finance,Finance/Investors Services
FTSI,367096813,Energy,Oilfield Services/Equipment
FURY,134441036,Basic Industries,Precious Metals
GAU,235906777,Basic Industries,Precious Metals
GBR,26429460,Consumer Services,Real Estate
GDP,224488374,Energy,Oil & Gas Production
GGN,619000143,Finance,Finance/Investors Services
GGN^B,,,
GGO,25153440,Finance,Trusts Except Educational Religious and Charitable
GGO^A,,,
GLDG,203335477,Basic Industries,Precious Metals
GLO,400506334,Finance,Finance/Investors Services
GLQ,203478187,Finance,Finance/Investors Services
GLU,115854342,Finance,Finance/Investors Services
GLU^A,,,
GLU^B,,,
GLV,97185454,Finance,Finance/Investors Services
GOED,348539800,Consumer Services,Home Furnishings
GORO,173443348,Basic Industries,Precious Metals
GPL,208761830,Basic Industries,Precious Metals
GRF,37426713,Finance,Finance/Investors Services
GROY,213933724,Basic Industries,Precious Metals
GSAT,3207680000,Consumer Services,Telecommunications Equipment
GSS,292465781,Basic Industries,Precious Metals
GSV,190749303,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,262355114,Energy,Oil & Gas Production
HLM^,,,
HMG,16468505,Consumer Services,Real Estate Investment Trusts
HNW,127116711,Finance,Finance/Investors Services
HUSA,19449742,Energy,Oil & Gas Production
HWM^,,,
IAF,151942673,Finance,Finance/Investors Services
IBIO,294097964,Health Care,Major Pharmaceuticals
ID,227569908,Miscellaneous,Diversified Commercial Services
IGC,72974182,Technology,Engineering & Construction
IHT,55704580,Consumer Services,Real Estate Investment Trusts
IMH,43305349,Finance,Finance: Consumer Services
