Symbol,Market Cap,Sector,Industry
CNI,74866812089,,
CNK,2268889072,Consumer Services,Movies/Entertainment
CNMD,3991150824,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNNE,3033821710,Consumer Services,Catalog/Specialty Distribution
CNO,3118144323,Finance,Accident &Health Insurance
CNO^A,,,
CNP,14634300454,Public Utilities,Power Generation
CNP^B,,,
CNQ,42109106980,Energy,Oil & Gas Production
CNR,2242638766,Capital Goods,Metal Fabrications
CNS,3936438590,Finance,Investment Managers
CNVY,714069986,,
CNX,3000078626,Energy,Oil & Gas Production
CO,650298251,Health Care,Managed Health Care
CODI,1677665000,,
CODI^A,,,
CODI^B,,,
CODI^C,,,
COE,152680608,Miscellaneous,Service to the Health Industry
COF,74428018194,Finance,Major Banks
COF^G,,,
COF^H,,,
COF^I,,,
COF^J,,,
COF^K,,,
COF^L,,,
COG,7070059362,Energy,Oil & Gas Production
COLD,9944968335,Consumer Services,Real Estate Investment Trusts
COMP,5377732665,Technology,EDP Services
COO,20233518614,Health Care,Ophthalmic Goods
COP,80695223549,Energy,Integrated oil Companies
COR,5993806926,Consumer Services,Real Estate Investment Trusts
CORR,83137763,Consumer Services,Real Estate Investment Trusts
CORR^A,,,
COTY,6764725552,Consumer Non-Durables,Package Goods/Cosmetics
COUR,5368364344,Miscellaneous,Other Consumer Services
CP,49049059684,Transportation,Railroads
CPA,3065865462,Transportation,Air Freight/Delivery Services
CPAC,597821774,Capital Goods,Building Materials
CPB,13803995278,Consumer Non-Durables,Packaged Foods
CPE,2483035573,Energy,Oil & Gas Production
CPF,716649785,Finance,Major Banks
CPG,2280162935,Energy,Oil & Gas Production
CPK,2119273720,Public Utilities,Oil & Gas Production
CPLG,655462898,Consumer Services,Real Estate Investment Trusts
CPNG,74638693804,Capital Goods,Recreational Products/Toys
CPRI,8214141865,Consumer Non-Durables,Apparel
CPS,460337995,Capital Goods,Auto Parts:O.E.M.
CPSR,338100000,,
CPT,13885586423,Consumer Services,Real Estate Investment Trusts
CPTK,333615000,Finance,Business Services
CPUH,1053328125,,
CR,5500331741,Capital Goods,Office Equipment/Supplies/Services
CRC,2466261936,Energy,Oil & Gas Production
CRD/A,,,
CRD/B,,,
CRH,39152154606,Capital Goods,Building Materials
CRHC,1025685000,Finance,Business Services
CRI,4638329661,Consumer Services,Clothing/Shoe/Accessory Stores
CRK,1461860271,Energy,Oil & Gas Production
CRL,19303613442,Consumer Services,EDP Services
CRM,2.24935E+11,Technology,Computer Software: Prepackaged Software
CRS,1918413417,Basic Industries,Steel/Iron Ore
CRT,69840000,Energy,Oil & Gas Production
CRU,313410938,,
CRY,1078323171,Health Care,Medical/Dental Instruments
CS,23900143506,Finance,Investment Bankers/Brokers/Service
CSAN,9432445193,Consumer Durables,Automotive Aftermarket
CSL,10148185842,,
CSLT,371109037,Health Care,Managed Health Care
CSPR,325306700,Consumer Durables,Home Furnishings
CSR,1110365018,Consumer Services,Real Estate Investment Trusts
CSR^C,,,
CSTA,385551250,Finance,Business Services
CSTM,2714514374,Basic Industries,Metal Fabrications
CSU,113003378,Health Care,Hospital/Nursing Management
CSV,650650000,Miscellaneous,Other Consumer Services
CTA^A,,,
CTA^B,,,
CTAC,330483907,Finance,Business Services
CTBB,0,,
CTDD,0,,
CTK,105946758,Technology,EDP Services
CTLT,19340579928,Health Care,Major Pharmaceuticals
CTO,329807901,Consumer Services,Real Estate
CTO^A,,,
CTOS,2204586639,Technology,Diversified Commercial Services
CTR,184417396,Finance,Investment Managers
CTS,1168099280,Capital Goods,Industrial Machinery/Components
CTT,578531138,Consumer Services,Real Estate Investment Trusts
CTVA,32285023800,Basic Industries,Major Chemicals
CUBB,0,Finance,Major Banks
CUBE,9854171373,Consumer Services,Real Estate Investment Trusts
CUBI,1291941211,Finance,Major Banks
CUBI^C,,,
CUBI^D,,,
CUBI^E,,,
CUBI^F,,,
CUK,24315360000,,
CULP,197008000,Basic Industries,Textiles
CURO,705106816,Finance,Diversified Financial Services
CURV,0,,
CUZ,5738017727,Consumer Services,Real Estate Investment Trusts
CVA,2495899982,,
CVE,18015931874,,
CVEO,284285105,,
CVI,1614521420,Energy,Integrated oil Companies
CVII,1683600000,,
CVNA,26244654688,Consumer Services,Other Specialty Stores
CVS,1.07722E+11,Health Care,Managed Health Care
CVX,2.01058E+11,Energy,Integrated oil Companies
CW,4973995310,Capital Goods,Industrial Machinery/Components
CWEN,5374911534,Public Utilities,Electric Utilities: Central
CWH,3518033884,Capital Goods,Recreational Products/Toys
CWK,3925443903,Finance,Real Estate
CWT,2963680500,Public Utilities,Water Supply
CX,12239774668,Capital Goods,Building Materials
CXE,170216365,Finance,Investment Managers
CXH,94291036,Finance,Investment Managers
CXM,5542311075,,
CXP,2001020158,Consumer Services,Real Estate Investment Trusts
CXW,1277340848,Consumer Services,Real Estate Investment Trusts
CYD,649238228,Capital Goods,Construction/Ag Equipment/Trucks
CYH,2126125263,Health Care,Hospital/Nursing Management
D,60932913660,Public Utilities,Electric Utilities: Central
DAC,1507025474,Transportation,Marine Transportation
DAL,27408868508,Transportation,Air Freight/Delivery Services
DAN,3345554471,Capital Goods,Auto Parts:O.E.M.
DAO,2614758362,Consumer Services,Other Consumer Services
DAR,11005963608,Consumer Non-Durables,Farming/Seeds/Milling
DASH,57731950972,Capital Goods,Industrial Machinery/Components
DAVA,6534712423,Technology,EDP Services
DB,25958670525,Finance,Commercial Banks
DBD,966901257,Technology,EDP Services
DBI,1186293010,Consumer Services,Clothing/Shoe/Accessory Stores
DBL,297793358,,
DBRG,3843657984,Consumer Services,Real Estate Investment Trusts
DBRG^G,,,
DBRG^H,,,
DBRG^I,,,
DBRG^J,,,
DCF,141850491,Finance,Finance/Investors Services
DCI,8193146872,Capital Goods,Pollution Control Equipment
DCO,645803037,Capital Goods,Military/Government/Technical
DCP,6271713417,Public Utilities,Natural Gas Distribution
DCP^B,,,
DCP^C,,,
DCUE,0,Public Utilities,Electric Utilities: Central
DD,42262744325,Capital Goods,Wholesale Distributors
DDD,3889047505,Technology,Computer peripheral equipment
DDF,84483865,Finance,Finance/Investors Services
DDL,0,,
DDS,3949403869,Consumer Services,Department/Specialty Retail Stores
DDT,0,Consumer Services,Department/Specialty Retail Stores
DE,1.10515E+11,Capital Goods,Industrial Machinery/Components
DEA,1821677099,Consumer Services,Real Estate Investment Trusts
DECK,10956662281,Consumer Non-Durables,Shoe Manufacturing
DEH,428662500,Finance,Business Services
DEI,6090586539,Consumer Services,Real Estate Investment Trusts
DELL,74177225144,Technology,Computer Manufacturing
DEN,3600478296,Energy,Oil & Gas Production
DEO,1.11611E+11,Consumer Non-Durables,Beverages (Production/Distribution)
DESP,919002190,Transportation,Other Consumer Services
DEX,125291194,Finance,Finance Companies
DFIN,1108701811,Finance,Investment Managers
DFNS,215409375,,
DFP,563200174,Finance,Investment Managers
DFS,38595712043,Finance,Finance: Consumer Services
DG,51837656835,Consumer Services,Department/Specialty Retail Stores
DGNR,860775000,Finance,Business Services
DGX,16487963622,Health Care,Medical Specialities
DHF,256658139,Finance,Finance Companies
DHI,32093848409,Capital Goods,Homebuilding
DHR,1.98299E+11,Health Care,Medical Specialities
DHR^A,,,
DHR^B,,,
DHT,1059863845,Transportation,Marine Transportation
DHX,168530621,Technology,Diversified Commercial Services
DIAX,618964876,Finance,Finance Companies
DIDI,53505966872,,
DIN,1504527057,Consumer Services,Restaurants
DIS,3.35006E+11,Consumer Services,Movies/Entertainment
DK,1405116270,Energy,Integrated oil Companies
DKL,1882834182,Energy,Oil & Gas Production
DKS,8955503901,Consumer Services,Other Specialty Stores
DLB,10053982712,Technology,EDP Services
DLNG,130257157,,
DLNG^A,,,
DLNG^B,,,
DLR,44400747275,Consumer Services,Real Estate Investment Trusts
DLR^J,,,
DLR^K,,,
DLR^L,,,
DLX,1864465584,Technology,Advertising
DLY,957956664,Finance,Investment Managers
DM,2608922513,Technology,Computer peripheral equipment
DMB,280435956,Finance,Trusts Except Educational Religious and Charitable
DMO,175441384,Finance,Trusts Except Educational Religious and Charitable
DMS,570527628,Technology,Advertising
DMYI,392250000,,
DMYQ,428231250,Finance,Business Services
DNB,9189018133,Technology,EDP Services
DNMR,2132425319,Consumer Non-Durables,Plastic Products
DNOW,1037499578,Energy,Metal Fabrications
DNP,3603587159,Finance,Investment Managers
DNZ,347875000,,
DOC,4040051531,Consumer Services,Real Estate Investment Trusts
DOCN,5943044443,Technology,Retail: Computer Software & Peripheral Equipment
DOCS,9102840122,,
DOOR,2807302351,,
DOV,22291455887,Capital Goods,Industrial Machinery/Components
DOW,47224672523,Basic Industries,Industrial Specialties
DPG,554913062,Finance,Trusts Except Educational Religious and Charitable
DPZ,18641899763,Consumer Non-Durables,Food Distributors
DQ,5018772107,Technology,Semiconductors
DRD,870505838,Basic Industries,Precious Metals
DRE,18891757903,Consumer Services,Real Estate Investment Trusts
DRH,2005801838,Consumer Services,Real Estate Investment Trusts
DRH^A,,,
DRI,19619858966,Consumer Services,Restaurants
DRQ,1137647474,Energy,Metal Fabrications
DRUA,0,Public Utilities,Electric Utilities: Central
DS,277131233,Consumer Services,Movies/Entertainment
DS^B,,,
DS^C,,,
DS^D,,,
DSL,1855322301,Finance,Trusts Except Educational Religious and Charitable
DSM,413163832,Finance,Investment Managers
DSSI,402066829,Consumer Services,Transportation Services
DSU,531612518,Finance,Finance Companies
DSX,394515859,Transportation,Marine Transportation
DSX^B,,,
DT,17492951739,Technology,EDP Services
DTB,0,Public Utilities,Electric Utilities: Central
DTE,22472373876,Public Utilities,Electric Utilities: Central
DTF,105654392,Finance,Investment Managers
DTLA^,,,
DTM,0,,
DTP,0,Public Utilities,Electric Utilities: Central
DTW,0,Public Utilities,Electric Utilities: Central
DTY,0,,
DUK,78098800603,Public Utilities,Power Generation
DUK^A,,,
DUKB,0,Public Utilities,Power Generation
DUKH,0,Public Utilities,Power Generation
DV,6228338803,Technology,Computer Software: Prepackaged Software
DVA,13136940000,Health Care,Medical/Nursing Services
DVD,84007087,Consumer Services,Services-Misc. Amusement & Recreation
DVN,19427030000,Energy,Oil & Gas Production
DWIN,252729750,,
DX,593968562,Consumer Services,Real Estate Investment Trusts
DX^C,,,
DXC,10297175091,Technology,EDP Services
DY,2185287061,Basic Industries,Water Supply
DYFN,81789350,Finance,Finance/Investors Services
E,42638380073,Energy,Oil & Gas Production
EAF,3070872173,Consumer Durables,Metal Fabrications
EAI,0,,
EARN,148821604,Consumer Services,Real Estate Investment Trusts
EAT,2924856188,Consumer Services,Restaurants
EB,1636338332,Technology,EDP Services
EBF,541904176,Consumer Services,Office Equipment/Supplies/Services
EBR,13257466190,Public Utilities,Electric Utilities: Central
EBS,3201196456,Health Care,Major Pharmaceuticals
EC,29460111738,Energy,Oil & Gas Production
ECC           ,451934374,Finance,Trusts Except Educational Religious and Charitable
ECCB,0,Finance,Trusts Except Educational Religious and Charitable
ECCC,0,Finance,Trusts Except Educational Religious and Charitable
ECCW,0,Finance,Trusts Except Educational Religious and Charitable
ECCX,0,Finance,Trusts Except Educational Religious and Charitable
ECCY,0,Finance,Trusts Except Educational Religious and Charitable
ECL,61021899680,Consumer Non-Durables,Package Goods/Cosmetics
ECOM          ,719535018,Technology,Computer Software: Prepackaged Software
ED,25901347395,Public Utilities,Power Generation
EDD,402501041,Finance,Finance Companies
EDF,143245723,Finance,Investment Managers
EDI,94533972,Finance,Finance Companies
EDN,202139487,Public Utilities,Electric Utilities: Central
EDR,6653528771,Consumer Services,Services-Misc. Amusement & Recreation
EDU,11026749478,Consumer Services,Other Consumer Services
EEA,81436611,Finance,Trusts Except Educational Religious and Charitable
EEX,372032976,Technology,Advertising
EFC,798577916,Finance,Real Estate
EFC^A,,,
EFL,224405314,Finance,Trusts Except Educational Religious and Charitable
EFR,523983011,Finance,Trusts Except Educational Religious and Charitable
EFT,574037136,Finance,Finance Companies
EFX,30090949554,Technology,Advertising
EGF,55030480,Finance,Trusts Except Educational Religious and Charitable
EGHT,2921675993,Public Utilities,Telecommunications Equipment
EGO,1748983629,Basic Industries,Precious Metals
EGP,6915721594,Consumer Services,Real Estate Investment Trusts
EGY,184798496,Energy,Oil & Gas Production
EHC,8095784205,Health Care,Medical Specialities
EHI,238094646,Finance,Investment Managers
EIC,0,Finance,Finance/Investors Services
EIG,1220464510,Finance,Property-Casualty Insurers
EIX,22083294685,Public Utilities,Electric Utilities: Central
EL,1.16178E+11,Consumer Non-Durables,Package Goods/Cosmetics
ELAN,16564318624,Health Care,Major Pharmaceuticals
ELAT,0,Health Care,Major Pharmaceuticals
ELC,0,,
ELF,1349612279,Consumer Non-Durables,Package Goods/Cosmetics
ELP,15570990838,Public Utilities,Electric Utilities: Central
ELS,14373717675,Consumer Services,Real Estate Investment Trusts
ELVT,128709648,Finance,Finance Companies
ELY,6035078444,Consumer Non-Durables,Recreational Products/Toys
EMD,837080045,Finance,Finance/Investors Services
EME,6734987950,Capital Goods,Engineering & Construction
EMF,308773331,Finance,Finance/Investors Services
EMN,15708559440,Basic Industries,Major Chemicals
EMO,310825025,Finance,Investment Managers
EMP,0,,
EMPW,312187500,Capital Goods,Auto Parts:O.E.M.
EMR,59136417000,Capital Goods,Industrial Machinery/Components
ENB,81326891858,Public Utilities,Oil & Gas Production
ENBA,0,Energy,Oil & Gas Production
ENBL,3909719267,,
ENIA,15427108251,Public Utilities,Electric Utilities: Central
ENIC,3748827400,Public Utilities,Electric Utilities: Central
ENJ,0,Public Utilities,Power Generation
ENLC,3160860794,Public Utilities,Natural Gas Distribution
ENO,0,,
ENPC,432300160,,
ENR,2935012267,Basic Industries,Metal Fabrications
ENR^A,,,
ENS,4178419557,Consumer Non-Durables,Telecommunications Equipment
ENV,4081152424,Technology,EDP Services
ENVA,1251421765,Finance,Finance: Consumer Services
ENZ,153655514,Health Care,Medical Specialities
EOD,254271715,Finance,Investment Managers
EOG,48614306663,Energy,Oil & Gas Production
EOI,732604220,Consumer Services,Real Estate Investment Trusts
EOS,1165476003,Finance,Trusts Except Educational Religious and Charitable
EOT,350811901,Finance,Trusts Except Educational Religious and Charitable
EP^C,,,
EPAC,1638283952,Capital Goods,Industrial Machinery/Components
EPAM,30153423856,Technology,EDP Services
EPC,2329267253,Consumer Non-Durables,Package Goods/Cosmetics
EPD,53755393634,Public Utilities,Natural Gas Distribution
EPR,3966467811,Consumer Services,Real Estate Investment Trusts
EPR^C,,,
EPR^E,,,
EPR^G,,,
EPRT,3327092097,Consumer Services,Real Estate Investment Trusts
EPWR,339135000,,
EQC,3293109169,Consumer Services,Real Estate Investment Trusts
EQC^D,,,
EQD,506891250,,
EQH,12771093286,,
EQH^A,,,
EQH^C,,,
EQHA,267024515,,
EQNR,66369282960,Energy,Integrated oil Companies
EQR,30821783283,Consumer Services,Real Estate Investment Trusts
EQS,25495223,Finance,Finance/Investors Services
EQT,5972980750,Energy,Oil & Gas Production
ERF,1769008189,Energy,Oil & Gas Production
ERJ,2806362517,Capital Goods,Aerospace
ERO,1825626035,Basic Industries,Precious Metals
ES,28335958365,Public Utilities,Electric Utilities: Central
ESE,2528830245,Capital Goods,Telecommunications Equipment
ESGC,492609703,Consumer Services,Movies/Entertainment
ESI,5916685704,Basic Industries,Major Chemicals
ESM,372165555,Finance,Business Services
ESNT,5059101947,Finance,Property-Casualty Insurers
ESRT,3486222887,Consumer Services,Real Estate Investment Trusts
ESS,21068096698,Consumer Services,Real Estate Investment Trusts
ESTC,13525955722,Technology,Computer Software: Prepackaged Software
ESTE,884314020,Energy,Oil & Gas Production
ET,28289866299,Public Utilities,Natural Gas Distribution
ET^C,,,
ET^D,,,
ET^E,,,
ETB,448022664,Finance,Trusts Except Educational Religious and Charitable
ETG,1614512528,Finance,Investment Managers
ETH,670234587,Consumer Durables,Home Furnishings
ETI^,,,
ETJ,738115813,Finance,Finance Companies
ETN,61795395000,Capital Goods,Industrial Machinery/Components
ETO,466830098,Finance,Investment Managers
ETR,20676001042,Public Utilities,Electric Utilities: Central
ETRN,3875182080,Energy,Oilfield Services/Equipment
ETV,1520642259,Finance,Trusts Except Educational Religious and Charitable
ETW,1182898519,Finance,Investment Managers
ETWO,2172258895,Technology,Computer Software: Prepackaged Software
ETX           ,247218128,Finance,Finance Companies
ETY,2146205625,Finance,Finance Companies
EURN,1807034710,Transportation,Marine Transportation
EVA,2379712981,,
EVC,562831962,Consumer Services,Broadcasting
EVF,255599597,Finance,Trusts Except Educational Religious and Charitable
EVG,241388046,Finance,Investment Managers
EVH,1964633436,Health Care,Managed Health Care
EVN,563868722,Finance,Investment Managers
EVR,5604412347,Finance,Investment Managers
EVRG,14191658374,Public Utilities,Power Generation
EVRI,2144890210,Consumer Services,Recreational Products/Toys
EVT,2049391163,Finance,Finance Companies
EVTC,3180960777,Technology,EDP Services
EW,66415673255,Health Care,Industrial Specialties
EXD,116292453,Finance,Trusts Except Educational Religious and Charitable
EXG,3078125772,Finance,Finance Companies
EXK,942425673,Basic Industries,Precious Metals
EXP,5951818517,Capital Goods,Building Materials
EXPR,351388802,,
EXR,23359687393,Consumer Services,Real Estate Investment Trusts
EXTN,157774886,Technology,Diversified Commercial Services
F,58317925546,Capital Goods,Auto Manufacturing
F^B,,,
F^C,,,
FACA,411124994,,
FACT,418312500,Health Care,Major Pharmaceuticals
FAF,7038798195,Finance,Specialty Insurers
FAM,102990183,Finance,Finance/Investors Services
FBC,2332720237,Finance,Savings Institutions
FBHS,13654707669,Consumer Durables,Building Products
FBK,1756144026,Finance,Major Banks
FBP,2574437237,Finance,Major Banks
FC,533714620,Consumer Services,Professional Services
FCAX,490500000,Finance,Business Services
FCF,1346933574,Finance,Major Banks
FCN,4645195597,Consumer Services,Professional Services
FCPT,2220392258,Consumer Services,Real Estate Investment Trusts
FCRW,0,,
FCRX,0,,
FCT,328419996,Finance,Finance Companies
FCX,53535694844,Basic Industries,Precious Metals
FDEU,234181630,Finance,Trusts Except Educational Religious and Charitable
FDP,1540279549,,
FDX,79515059615,Transportation,Air Freight/Delivery Services
FE,20385388191,Public Utilities,Electric Utilities: Central
FEDU,39323032,Consumer Services,Other Consumer Services
FEI           ,359590287,Finance,Finance/Investors Services
FENG,110641621,Consumer Services,Broadcasting
FEO,75376210,Finance,Investment Managers
FERG,32354705016,Consumer Durables,Industrial Machinery/Components
FET,130040522,Energy,Metal Fabrications
FF,414248511,Basic Industries,Major Chemicals
FFA,410647321,Finance,Investment Managers
FFC,1017804928,Finance,Trusts Except Educational Religious and Charitable
FGB,59481827,Finance,Finance/Investors Services
FGNA,309515777,Finance,Finance: Consumer Services
FHI,3373180332,Finance,Investment Managers
FHN,9346176354,Finance,Major Banks
FHN^B,,,
FHN^C,,,
FHN^D,,,
FHN^E,,,
FHN^F,,,
FHS,197123847,Consumer Services,Other Consumer Services
FI,664920263,Energy,Oilfield Services/Equipment
FICO,14897784046,Technology,Computer Software: Prepackaged Software
FIF,235673616,Finance,Finance/Investors Services
FIGS,7084939114,Consumer Non-Durables,Medical Specialities
FINS,277624634,Finance,Finance/Investors Services
FINV,2238673212,Finance,Finance: Consumer Services
FIS,89943010932,Miscellaneous,Business Services
FIV,341116537,Finance,Trusts Except Educational Religious and Charitable
FIX,2825179609,Capital Goods,Engineering & Construction
FL,6557464382,Consumer Services,Clothing/Shoe/Accessory Stores
FLC,242945552,Finance,Trusts Except Educational Religious and Charitable
FLME,348593750,,
FLNG,771008483,Consumer Services,Marine Transportation
FLO,5091831392,Consumer Non-Durables,Farming/Seeds/Milling
FLOW,2744859677,Capital Goods,Industrial Machinery/Components
FLR,2394291858,Capital Goods,Oilfield Services/Equipment
FLS,5590522252,Capital Goods,Fluid Controls
FLT,21087438680,Technology,EDP Services
FLY,516654120,Technology,Diversified Commercial Services
FMAC,513360000,,
FMC,14017905280,Basic Industries,Agricultural Chemicals
FMN,183143642,Finance,Finance Companies
FMO,87680465,Finance,Trusts Except Educational Religious and Charitable
FMS,24292142746,Health Care,Medical/Nursing Services
FMX,30110774062,Consumer Non-Durables,Beverages (Production/Distribution)
FMY,58267380,Finance,Finance/Investors Services
FN,3435335989,Public Utilities,Telecommunications Equipment
FNB,3896501172,Finance,Major Banks
FNB^E,,,
FND,11387127315,Consumer Services,RETAIL: Building Materials
FNF,12932214800,Finance,Specialty Insurers
FNV,28238988926,Basic Industries,Precious Metals
FOA,456678324,Finance,Finance Companies
FOE,1767387017,Basic Industries,Paints/Coatings
FOF,402901056,Finance,Finance/Investors Services
FOR,1007058421,Finance,Real Estate
FOUR,7895782878,Technology,EDP Services
FPAC,704475000,Finance,Business Services
FPF,1534949084,Finance,Trusts Except Educational Religious and Charitable
FPH,1240371239,Consumer Services,Real Estate
FPI,394442206,Consumer Services,Real Estate Investment Trusts
FPI^B,,,
FPL,146765112,Finance,Trusts Except Educational Religious and Charitable
FR,7033575470,Consumer Services,Real Estate Investment Trusts
FRA,471054474,Finance,Trusts Except Educational Religious and Charitable
FRC,34730707853,Finance,Commercial Banks
FRC^H,,,
FRC^I,,,
FRC^J,,,
FRC^K,,,
FRC^L,,,
FREY,0,,
FRO,1703069361,,
FRT,9357637798,Consumer Services,Real Estate Investment Trusts
FRT^C,,,
FRXB,425468750,,
FSD,531505871,Finance,Investment Managers
FSK,6130294828,Finance,Investment Managers
FSLY,6290609000,Technology,Computer Software: Prepackaged Software
FSM,1486258187,Basic Industries,Precious Metals
FSNB,603750000,,
FSR,5039754208,Capital Goods,Auto Manufacturing
FSS,2435415927,Technology,Industrial Machinery/Components
FST,1579319489,Finance,Business Services
FT,209459257,Finance,Trusts Except Educational Religious and Charitable
FTAI,2761591784,Technology,Diversified Commercial Services
FTAI^A,,,
FTAI^B,,,
FTAI^C,,,
FTCH,17217157518,Consumer Services,Catalog/Specialty Distribution
FTEV,0,,
FTHY,0,Finance,Investment Managers
FTI,3799405046,Energy,Metal Fabrications
FTK,128733612,Energy,Oilfield Services/Equipment
FTS,20902382000,Public Utilities,Electric Utilities: Central
FTV,23849123941,Capital Goods,Industrial Machinery/Components
FUBO,4021536684,Consumer Services,Broadcasting
FUL,3404062004,Basic Industries,Home Furnishings
FUN,2526628455,Consumer Services,Movies/Entertainment
FUSE,434437500,,
FVIV,639925000,Finance,Business Services
FVRR,8380088724,Miscellaneous,Business Services
FVT,282612500,,
FZT,270973063,,
G,8850697018,Consumer Services,Professional Services
GAB,1777434155,Finance,Investment Managers
GAB^G,,,
GAB^H,,,
GAB^J,,,
GAB^K,,,
GAM,1073871926,Finance,Investment Managers
GAM^B,,,
GAPA,212625000,,
GATO,1150753337,Basic Industries,Precious Metals
GATX,3120156000,Transportation,Rental/Leasing Companies
GB,1678975147,Technology,EDP Services
GBAB,494963264,Finance,Investment Managers
GBL,712103823,,
GBX,1430847242,Capital Goods,Railroads
GCI,712534000,Consumer Services,Newspapers/Magazines
GCO,939082468,,
GCP,1697521833,Consumer Durables,Industrial Specialties
GCV,121774361,Finance,Finance/Investors Services
GD,53504238823,Capital Goods,Aerospace
GDDY,14483253714,Technology,EDP Services
GDL,125779301,Finance,Investment Managers
GDL^C,,,
GDO,276809034,Finance,Finance Companies
GDOT,2527724092,Technology,Advertising
GDV,2419064533,Finance,Investment Managers
GDV^G,,,
GDV^H,,,
GE,1.15088E+11,Capital Goods,Aerospace
GEF,3617826918,,
GEL,1379016203,Energy,Oil Refining/Marketing
GENI,3489355145,,
GEO,877520089,Consumer Services,Real Estate Investment Trusts
GER,189826999,Finance,Trusts Except Educational Religious and Charitable
GES,1615953034,Consumer Services,Clothing/Shoe/Accessory Stores
GF,326172333,Finance,Investment Managers
GFF,1426157338,Capital Goods,Diversified Manufacture
GFI,8014703471,Basic Industries,Precious Metals
GFL,10288892487,,
GFLU,0,,
GFX,418312500,,
GGB,9942120103,Basic Industries,Steel/Iron Ore
GGG,13137995173,Capital Goods,Fluid Controls
GGM,214592661,Finance,Trusts Except Educational Religious and Charitable
GGT,248851769,Finance,Trusts Except Educational Religious and Charitable
GGT^E,,,
GGT^G,,,
GGZ,143524209,Finance,Investment Managers
GGZ^A,,,
GHC,3334449339,Miscellaneous,Service to the Health Industry
GHG,1122213008,Consumer Services,Hotels/Resorts
GHL,287709913,Finance,Investment Bankers/Brokers/Service
GHLD,952200000,Finance,Finance: Consumer Services
GHM,145217540,Capital Goods,Industrial Machinery/Components
GHY,649871199,Finance,Trusts Except Educational Religious and Charitable
GIB,22601127146,,
GIC,1377501495,Consumer Services,Catalog/Specialty Distribution
GIL,7002588418,,
GIM,749865843,Finance,Finance Companies
GIS,35989360882,Consumer Non-Durables,Packaged Foods
GJH,0,,
GJR,0,Finance,Investment Managers
GJS,0,Finance,Finance: Consumer Services
GJT,0,,
GKOS,3563682122,Health Care,Medical/Dental Instruments
GL,9738542142,Finance,Life Insurance
GL^C,,,
GL^D,,,
GLEO,174348000,Finance,Business Services
GLOB,9165647200,Technology,EDP Services
GLOG^A,,,
GLOP,272810322,Energy,Oil & Gas Production
GLOP^A,,,
GLOP^B,,,
GLOP^C,,,
GLP,858727921,Energy,Oil Refining/Marketing
GLP^A,,,
GLP^B,,,
GLT,643660008,Basic Industries,Paper
GLW,34837521565,Capital Goods,Industrial Machinery/Components
GM,85546061204,Capital Goods,Auto Manufacturing
GME,14076273063,Consumer Services,Electronics Distribution
GMED,8191437151,Health Care,Medical/Dental Instruments
GMRE,931974565,Consumer Services,Real Estate Investment Trusts
GMRE^A,,,
GMS,2026354640,,
GNE,153087821,Public Utilities,Power Generation
GNE^A,,,
GNK,774122619,Transportation,Marine Transportation
GNL,1832254544,Consumer Services,Real Estate Investment Trusts
GNL^A,,,
GNL^B,,,
GNPK,212704371,Capital Goods,Military/Government/Technical
GNRC,28213076653,Consumer Durables,Metal Fabrications
GNT,113733166,Finance,Finance/Investors Services
GNT^A,,,
GNW,1854900008,Finance,Life Insurance
GOAC,705812500,,
GOF,1053969156,Finance,Finance/Investors Services
GOL,1693984647,Transportation,Air Freight/Delivery Services
GOLD,37043475075,Basic Industries,Precious Metals
GOLF,3725411705,Consumer Non-Durables,Recreational Products/Toys
GOOS,4680411389,Consumer Non-Durables,Apparel
GOTU,3115632555,Consumer Services,Other Consumer Services
GPC,18709151972,Capital Goods,Automotive Aftermarket
GPI,3108316675,Consumer Services,Other Specialty Stores
GPJA,0,,
GPK,5504058863,Basic Industries,Paper
GPM,418163386,Finance,Finance Companies
GPMT,808980405,Consumer Services,Real Estate Investment Trusts
GPN,55972900891,Miscellaneous,Business Services
GPOR,1365191206,Energy,Oil & Gas Production
GPRK,770834514,Energy,Oil & Gas Production
GPS,12192778332,Consumer Services,Clothing/Shoe/Accessory Stores
GPX,270932591,Miscellaneous,Service to the Health Industry
GRA,4603965791,Basic Industries,Major Chemicals
GRC,922683226,Capital Goods,Fluid Controls
GRX,235003471,Finance,Finance/Investors Services
GS,1.2928E+11,Finance,Investment Bankers/Brokers/Service
GS^A,,,
GS^C,,,
GS^D,,,
GS^J,,,
GS^K,,,
GSAH,976875000,Finance,Business Services
GSBD,1982508684,Finance,Finance: Consumer Services
GSK,1.01561E+11,Health Care,Major Pharmaceuticals
GSL,658544944,Transportation,Marine Transportation
GSL^B,,,
GSLD,0,Transportation,Marine Transportation
GSQD,423056250,Finance,Business Services
GTES,5313206752,Capital Goods,Industrial Machinery/Components
GTLS,5578409513,Capital Goods,Metal Fabrications
GTN,2164202014,Consumer Services,Broadcasting
GTS,552448241,Finance,Accident &Health Insurance
GTY,1450247606,Consumer Services,Real Estate Investment Trusts
GUT,435788584,Finance,Trusts Except Educational Religious and Charitable
GUT^A,,,
GUT^C,,,
GVA,1843116408,Capital Goods,Engineering & Construction
GWB,1741520335,Finance,Major Banks
GWRE,9209385794,Technology,Computer Software: Prepackaged Software
